Time,Tt_actual,wt_actual,Ts_actual,fa_dot,fw_dot,u3,Tt_ref,wt_ref,Ts_ref
0.0,24.0,8.0,18.0,0.0,0.0,0.0,24.0,8.0,15.0
0.01,24.000116,8.000023,17.947187,2.0,0.001,0.002,23.999680000008535,8.000199999997916,15.0
0.02,24.00023,8.000046,17.895422,2.0,0.001,0.002,23.99936000006827,8.000399999983333,15.0
0.03,24.000341,8.000069,17.844685,2.0,0.001,0.002,23.9990400002304,8.00059999994375,15.0
0.04,24.00045,8.000092,17.794952,2.0,0.001,0.002,23.998720000546133,8.000799999866667,15.0
0.05,24.000557,8.000114,17.746206,2.0,0.001,0.002,23.998400001066667,8.000999999739584,15.0
0.06,24.00066,8.000137,17.698427,2.0,0.001,0.002,23.9980800018432,8.00119999955,15.0
0.07,24.000761,8.00016,17.651594,2.0,0.001,0.002,23.99776000292693,8.001399999285416,15.0
0.08,24.00086,8.000183,17.60569,2.0,0.001,0.002,23.997440004369064,8.001599998933333,15.0
0.09,24.000957,8.000206,17.560696,2.0,0.001,0.002,23.997120006220797,8.00179999848125,15.0
0.1,24.001053,8.00023,17.516787,1.9930029,0.0009963174,0.00217677,23.996800008533327,8.001999997916668,15.0
0.11,24.001146,8.000254,17.473743,1.9930029,0.0009963174,0.00217677,23.996480011357857,8.002199997227084,15.0
0.12,24.001238,8.0002775,17.431551,1.9930029,0.0009963174,0.00217677,23.996160014745584,8.002399996400001,15.0
0.13,24.001328,8.000301,17.390192,1.9930029,0.0009963174,0.00217677,23.995840018747707,8.00259999542292,15.0
0.14,24.001415,8.000325,17.349651,1.9930029,0.0009963174,0.00217677,23.99552002341543,8.002799994283336,15.0
0.15,24.001501,8.000349,17.309912,1.9930004,0.000996316,0.0021768336,23.99520002879995,8.002999992968755,15.0
0.16,24.001585,8.000373,17.270956,1.9930004,0.000996316,0.0021768336,23.994880034952462,8.003199991466673,15.0
0.17,24.001667,8.000397,17.23277,1.9930004,0.000996316,0.0021768336,23.99456004192417,8.003399989764592,15.0
0.18,24.001747,8.000421,17.19534,1.9930004,0.000996316,0.0021768336,23.994240049766272,8.003599987850013,15.0
0.19,24.001825,8.000444,17.158648,1.9930004,0.000996316,0.0021768336,23.993920058529966,8.003799985710433,15.0
0.2,24.001898,8.000468,17.123957,2.007616,0.0009963156,0.0021768557,23.99360006826645,8.003999983333355,15.0
0.21,24.00197,8.000492,17.089956,2.007616,0.0009963156,0.0021768557,23.99328007902692,8.004199980706277,15.0
0.22,24.00204,8.000516,17.056633,2.007616,0.0009963156,0.0021768557,23.99296009086258,8.0043999778167,15.0
0.23,24.00211,8.00054,17.023973,2.007616,0.0009963156,0.0021768557,23.992640103824627,8.004599974652125,15.0
0.24,24.002176,8.000564,16.991962,2.007616,0.0009963156,0.0021768557,23.992320117964255,8.004799971200052,15.0
0.25,24.002241,8.000587,16.96059,2.0076208,0.0009963153,0.00217687,23.992000133332667,8.004999967447981,15.0
0.26,24.002304,8.000611,16.929842,2.0076208,0.0009963153,0.00217687,23.991680149981054,8.005199963383411,15.0
0.27,24.002365,8.000635,16.899706,2.0076208,0.0009963153,0.00217687,23.99136016796062,8.005399958993843,15.0
0.28,24.002426,8.000659,16.870169,2.0076208,0.0009963153,0.00217687,23.991040187322557,8.00559995426678,15.0
0.29,24.002485,8.000683,16.841219,2.0076208,0.0009963153,0.00217687,23.990720208118066,8.005799949189717,15.0
0.3,24.002542,8.000707,16.812845,2.0076222,0.000996315,0.0021768808,23.99040023039834,8.005999943750158,15.0
0.31,24.002598,8.0007305,16.785036,2.0076222,0.000996315,0.0021768808,23.99008025421458,8.006199937935603,15.0
0.32,24.002653,8.000754,16.75778,2.0076222,0.000996315,0.0021768808,23.989760279617975,8.006399931733553,15.0
0.33,24.002707,8.000778,16.731068,2.0076222,0.000996315,0.0021768808,23.989440306659727,8.006599925131505,15.0
0.34,24.002758,8.000802,16.704885,2.0076222,0.000996315,0.0021768808,23.989120335391032,8.006799918116963,15.0
0.35000000000000003,24.00281,8.000826,16.679224,2.007623,0.0009963154,0.0021768901,23.98880036586308,8.006999910677425,15.0
0.36,24.00286,8.00085,16.654074,2.007623,0.0009963154,0.0021768901,23.988480398127074,8.007199902800394,15.0
0.37,24.002907,8.000874,16.629423,2.007623,0.0009963154,0.0021768901,23.9881604322342,8.007399894473368,15.0
0.38,24.002954,8.000897,16.605263,2.007623,0.0009963154,0.0021768901,23.987840468235657,8.007599885683849,15.0
0.39,24.003,8.000921,16.581583,2.007623,0.0009963154,0.0021768901,23.98752050618264,8.007799876419337,15.0
0.4,24.002867,8.001057,16.431704,2.9467485,0.0020160929,0.013300019,23.987200546126342,8.007999866667333,15.0
0.41000000000000003,24.002722,8.001192,16.286171,2.9467485,0.0020160929,0.013300019,23.98688058811796,8.008199856415338,15.0
0.42,24.002565,8.0013275,16.144857,2.9467485,0.0020160929,0.013300019,23.98656063220868,8.008399845650851,15.0
0.43,24.0024,8.001463,16.00764,2.9467485,0.0020160929,0.013300019,23.986240678449697,8.008599834361373,15.0
0.44,24.002224,8.001598,15.874403,2.9467485,0.0020160929,0.013300019,23.985920726892207,8.008799822534407,15.0
0.45,24.002325,8.001794,15.895507,1.563563,0.0006419246,0.019266285,23.985600777587404,8.008999810157452,15.0
0.46,24.002426,8.001988,15.916283,1.563563,0.0006419246,0.019266285,23.985280830586472,8.009199797218008,15.0
0.47000000000000003,24.00253,8.002183,15.936735,1.563563,0.0006419246,0.019266285,23.98496088594061,8.009399783703577,15.0
0.48,24.002632,8.0023775,15.95687,1.563563,0.0006419246,0.019266285,23.984640943701006,8.009599769601659,15.0
0.49,24.002735,8.002572,15.976692,1.563563,0.0006419246,0.019266285,23.98432100391885,8.009799754899756,15.0
0.5,24.003132,8.003075,15.349362,0.1,0.003,0.05,23.984001066645334,8.009999739585368,15.0
0.51,24.003527,8.003577,14.72266,0.1,0.003,0.05,23.983681131931647,8.010199723645997,15.0
0.52,24.00392,8.00408,14.096584,0.1,0.003,0.05,23.983361199828977,8.010399707069142,15.0
0.53,24.004313,8.004582,13.471134,0.1,0.003,0.05,23.98304127038852,8.010599689842305,15.0
0.54,24.004704,8.005085,12.846309,0.1,0.003,0.05,23.982721343661456,8.01079967195299,15.0
0.55,24.004135,8.005486,12.672118,3.5105016,0.003,0.039828755,23.982401419698977,8.010999653388692,15.0
0.56,24.003551,8.005886,12.503914,3.5105016,0.003,0.039828755,23.98208149855227,8.011199634136918,15.0
0.5700000000000001,24.002954,8.006287,12.341488,3.5105016,0.003,0.039828755,23.981761580272526,8.011399614185168,15.0
0.58,24.002344,8.006687,12.184641,3.5105016,0.003,0.039828755,23.98144166491093,8.01159959352094,15.0
0.59,24.001719,8.007088,12.03318,3.5105016,0.003,0.039828755,23.98112175251866,8.011799572131737,15.0
0.6,24.001526,8.007199,12.318391,2.0696425,0.0,0.0109727625,23.980801843146917,8.011999550005063,15.0
0.61,24.001347,8.007311,12.5977545,2.0696425,0.0,0.0109727625,23.980481936846875,8.012199527128415,15.0
0.62,24.001183,8.007422,12.871392,2.0696425,0.0,0.0109727625,23.980162033669725,8.012399503489299,15.0
0.63,24.001032,8.007534,13.1394205,2.0696425,0.0,0.0109727625,23.97984213366665,8.012599479075211,15.0
0.64,24.000895,8.007646,13.401956,2.0696425,0.0,0.0109727625,23.979522236888833,8.012799453873658,15.0
0.65,24.000957,8.007521,13.5709305,1.3551008,0.0,-0.012693704,23.97920234338746,8.012999427872137,15.0
0.66,24.001026,8.007396,13.737632,1.3551008,0.0,-0.012693704,23.97888245321371,8.013199401058154,15.0
0.67,24.001099,8.007271,13.902092,1.3551008,0.0,-0.012693704,23.978562566418766,8.013399373419206,15.0
0.68,24.001177,8.007146,14.06434,1.3551008,0.0,-0.012693704,23.978242683053814,8.013599344942799,15.0
0.6900000000000001,24.00126,8.007021,14.224405,1.3551008,0.0,-0.012693704,23.97792280317003,8.013799315616433,15.0
0.7000000000000001,24.001343,8.006925,13.869064,1.3529038,0.00243,-0.009844788,23.977602926818598,8.013999285427609,15.0
0.71,24.001411,8.006828,13.5185,1.3529038,0.00243,-0.009844788,23.9772830540507,8.01419925436383,15.0
0.72,24.001469,8.006732,13.172648,1.3529038,0.00243,-0.009844788,23.976963184917512,8.014399222412598,15.0
0.73,24.001514,8.006636,12.831445,1.3529038,0.00243,-0.009844788,23.976643319470213,8.014599189561412,15.0
